Reviewer,Review,Rating,Expense,Type
Shailesh More,Very good. I ate nutella cheese cake.. It was very delicious aur surprising baat toh yeh thi.. Mujhe itne bhuk lagi thi par bass itni si pastry main meri puri bhuk chali gayi... I don't know how... But thats how cheese cake areï¿½ï¿½ï¿½ï¿½,4 stars,very expensive,CafÃ
bharti joshi,"Amazing food and true value for money. We had sandwich, pancakes & cheesecakes and loved it to the core.",5 stars,very expensive,CafÃ
sneha bakkal,Cozy place to meet your cravings end here...ate slurpy Chicken Spaghetti and velvet Cheese Cake.... Staff Shailesh was kind enough to ask us about the taste of the food ..Manager Hamid was also soft spoken and a good Host... Nice Experience ï¿½ï¿½ï¿,4 stars,very expensive,CafÃ
Yash Kadam,"Very few places justify the Concept and their Love towards serving the best Product. Poetry by Love & Cheesecake is the epitome of the same, they entirely Justify the fact that they specialize in Cheesecakes and other Pastry products. You ï¿½",5 stars,very expensive,CafÃ
Zeeshan Shaikh,"One of the best red velvet cheese cake I have ever had in my whole life.
Poetry provides with the mouthmelting cakes and and amazing bakery items to try for...",5 stars,very expensive,CafÃ
San Ika,"Cakes are just perfect
Neither too creamy nor too cheesy.",5 stars,very expensive,CafÃ
Prerna Dubey Gupta,"One of the best places for amazing desserts. Have always gotten take aways.. new York cheese cake, chocolate sin, Dutch true, mango cheesecake have been so delicious but what makes it better is the staff that goes over and beyond!!",5 stars,very expensive,CafÃ
Ayesha sayyed,"InFrame:
Baklava cheesecake
Nutella baked cheesecake ï¿½",4 stars,very expensive,CafÃ
Jayendra Atre,"This is a very tiny place so you won't always get a place to sit unlike at Powai. But the service is very good and people are very friendly and helpful.
The club sandwich is fabulous and one the best I have had. The blueberry pancake ï¿½",4 stars,very expensive,CafÃ
Sujata Das,"Poetry is one of my favorite joints when it comes to dessert. Sandwiches and other snacks,  i found is just average to taste. I love the breads the sell. If u are a dessert lover like cakes, pastries u should visit this place.ï¿½ï¿½ï¿",3 stars,very expensive,CafÃ
Priti Shinde,"We have ordered Nutella cold cheesecake-BESTï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½, Original tiramisu cheesecake, Nutella layered cheesecake! Their cold cheesecakes ar",5 stars,very expensive,CafÃ
Devesh Rane,"Delicious cheesecakes , good breakfast.
Strawberry cheesecake could be the best but is never available.",5 stars,very expensive,CafÃ
Meera Joy,"Pros: Their cakes and the bakery items are the best. Overpriced slightly but never a compromise on quality.
Must try: pretty much everything ï¿½",5 stars,very expensive,CafÃ
Arjun Jetly,Great cafe. Very nice bakery. Staff is lovely. There is renovation work going on outside the cafe and that's an inconvenience. Local municipality is the worst in Mumbai. #IYKYK. ï¿½,5 stars,very expensive,CafÃ
jayesh vasan,"I love Everything about poetry in Chembur right from the feel of the place, the food choices, the taste , the staff and the service.   Today I had the eggs sunny side up with the works - bacon, chicken sausage, cheese, sun dried tomatoes ï¿½",5 stars,very expensive,CafÃ
